Date,Open,High,Low,Close,Volume,Market Cap
Mar-05-2022,39144.65309,39576.6006,38750.39689,39409.21247,59407483445.218600,742730898448.629000
Mar-04-2022,42465.00663,42498.51626,38732.82492,39120.0424,73188777466.610500,776819353264.193000
Mar-03-2022,43901.74614,44035.45904,41862.5181,42450.88343,66512987510.634100,818020318280.722000
Mar-02-2022,44404.9179,45173.5809,43387.8769,43938.47684,77745565525.333300,835633793463.626000
Mar-01-2022,43182.0054,44788.0749,42934.4426,44359.8712,92935896888.888800,827710306554.247000
Feb-28-2022,37703.77404,43716.57005,37513.31817,43181.1437,68880211740.444400,747149243496.158000
Feb-27-2022,39091.9507,39773.25674,37129.65641,37714.48389,46101678641.777700,734004325756.464000
Feb-26-2022,39226.46287,39970.48946,38606.4515,39033.5353,53525292771.555500,743680328774.195000
Feb-25-2022,38329.38683,39616.9516,38054.57113,39219.47676,85942038343.111100,736163298230.941000
Feb-24-2022,37216.40439,39132.7827,34408.52933,38296.16593,130682462236.444000,685030805141.108000
Feb-23-2022,38227.7774,39158.3401,37088.33878,37287.48634,108954655658.666000,724585419657.509000
Feb-22-2022,37060.00781,38337.8251,36444.81827,38302.8439,81464065635.555500,709288617552.528000
Feb-21-2022,38362.69454,39402.35077,36922.0285,37003.15356,57203595477.333300,729866202965.115000
Feb-20-2022,40096.00167,40100.0429,38077.0408,38464.8528,39952153991.111100,734771306231.119000
Feb-19-2022,39991.16762,40427.21165,39652.0096,40112.55953,50941849784.888800,759529015275.428000
Feb-18-2022,40528.1251,40924.09716,39629.33836,39976.23595,67854684188.543500,765918052415.201000
Feb-17-2022,43874.0659,44101.5051,40214.02227,40491.0412,59257593216.000000,808358041670.267000
Feb-16-2022,44522.9589,44522.9589,43367.6442,43997.7116,51244306560.445900,833896616078.054000
Feb-15-2022,42550.18171,44701.42103,42480.31932,44602.5315,58821263488.000000,831732771858.340000
Feb-14-2022,42046.3787,42770.0602,41661.35169,42594.9419,47232394516.659600,800465237037.571000
Feb-13-2022,42181.8713,42713.9205,41891.593,42235.5136,39865657948.444400,802407091556.180000
Feb-12-2022,42374.9792,42963.41502,41791.9532,42126.3511,65888611477.333300,802248285937.413000
Feb-11-2022,43510.53408,43896.2443,42067.4742,42377.6527,86770612437.333300,818182947265.171000
Feb-10-2022,44376.4542,45648.6513,43255.4943,43524.37792,65554357845.333300,839930914682.102000
Feb-09-2022,44017.46576,44748.5419,43160.2133,44283.9142,68034018631.111100,832281102950.082000
Feb-08-2022,43837.65656,45404.65555,42712.32222,44082.39258,73991938261.333300,830883774189.328000
Feb-07-2022,42396.15324,44462.4328,41672.92921,43905.99798,55562600874.666600,816605884545.277000
Feb-06-2022,41426.2539,42487.83558,41247.1275,42388.07234,47310906872.888800,788074594407.997000
